=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   54m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container started
rook-ceph   54m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Container created
rook-ceph   54m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l           Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container image "docker.io/rook/ceph:v1.19.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container started
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Container started
rook-ceph   54m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Container created
